image,timestamp,top_tokens,top_probs
truck6-dog2,2024-02-08 11:11:06,"['P', 'F', 'C', 'B', 'A', 'D', 'G', 'E', 'M', 'N', 'H', 'R', 'K', 'O', 'L', 'T']","[0.9829469919204712, 0.006520363502204418, 0.0043434989638626575, 0.002184048295021057, 0.0018391531193628907, 0.001501072896644473, 0.00016841571778059006, 0.00014632211241405457, 5.641220195684582e-05, 4.604229616234079e-05, 3.3685264497762546e-05, 3.164437657687813e-05, 2.8365837351884693e-05, 2.7066871552960947e-05, 2.1748841390945017e-05, 1.7204749383381568e-05]"
bear2-oven1,2024-02-08 11:11:06,"['B', 'C', 'A', 'D', 'F', 'E', 'P', 'G', 'H', 'M', 'K', 'R', 'L', 'J', 'W', 'N']","[0.9869264960289001, 0.007078737020492554, 0.0036724009551107883, 0.0020280922763049603, 9.485513874096796e-05, 3.656991248135455e-05, 2.717645293159876e-05, 2.5931951313395984e-05, 1.988271833397448e-05, 1.4098957763053477e-05, 1.2249386600160506e-05, 7.429628567479085e-06, 7.201042990345741e-06, 7.1450035648013e-06, 4.872469617112074e-06, 4.401909336593235e-06]"
chair5-bottle3,2024-02-08 11:11:06,"['F', 'I', 'D', 'A', 'B', 'M', 'C', 'E', 'H', 'G', 'J', 'N', 'L', 'P', 'K', 'O']","[0.7223544716835022, 0.09041327238082886, 0.07264909893274307, 0.04617857560515404, 0.02714698761701584, 0.022860052064061165, 0.010303832590579987, 0.0031424916815012693, 0.0011742633068934083, 0.0011204899055883288, 0.0010044006630778313, 0.0004744452890008688, 0.00025395225384272635, 0.00023486744612455368, 0.00017453866894356906, 0.00011446524877101183]"
elephant2-bird1,2024-02-08 11:11:07,"['L', 'B', 'D', 'A', 'C', 'G', 'H', 'M', 'K', 'F', 'E', 'J', 'P', 'I', 'R', 'N']","[0.8733636140823364, 0.06840712577104568, 0.02152525819838047, 0.015263693407177925, 0.013682286255061626, 0.00168598850723356, 0.0013337265700101852, 0.0009911414235830307, 0.0008884534472599626, 0.0004983771941624582, 0.0004983771941624582, 0.0004398163582663983, 0.00043299762182869017, 0.0002884386049117893, 0.00023541673726867884, 0.0001643473660806194]"
clock5-chair3,2024-02-08 11:11:07,"['J', 'D', 'I', 'A', 'B', 'C', 'M', 'H', 'G', 'L', 'N', 'K', 'E', 'F', 'P', 'Q']","[0.9501937627792358, 0.017133591696619987, 0.014885921962559223, 0.009315372444689274, 0.0034269338939338923, 0.0014285584911704063, 0.0011843167012557387, 0.0008801094372756779, 0.0005771897849626839, 0.00017603294691070914, 0.00015056895790621638, 0.00013925351959187537, 0.00011910985631402582, 0.00010188006126554683, 4.66440906166099e-05, 3.256282434449531e-05]"
knife5-dog1,2024-02-08 11:11:07,"['B', 'C', 'A', 'D', 'M', 'H', 'G', 'F', 'P', 'K', 'E', 'J', 'L', 'N', 'O', 'I']","[0.6056931614875793, 0.1438647359609604, 0.11559856683015823, 0.05633823946118355, 0.020404357463121414, 0.013381504453718662, 0.011626053601503372, 0.011268356814980507, 0.006031516473740339, 0.005000303033739328, 0.0034907744266092777, 0.0029858173802495003, 0.0013044070219621062, 0.0008036218350753188, 0.0008036218350753188, 0.0005788271664641798]"
chair1-truck3,2024-02-08 11:11:07,"['I', 'A', 'C', 'D', 'B', 'E', 'J', 'G', 'M', 'H', 'N', 'L', 'K', 'O', 'F', 'P']","[0.652906060218811, 0.19000647962093353, 0.05359379202127457, 0.023782100528478622, 0.021318137645721436, 0.013980776071548462, 0.012337991036474705, 0.007601216435432434, 0.006813686341047287, 0.005390068981796503, 0.0025460883043706417, 0.0022120799403637648, 0.002014121739193797, 0.0016960605280473828, 0.0016183922998607159, 0.0007181572145782411]"
bottle5-airplane1,2024-02-08 11:11:08,"['F', 'B', 'D', 'A', 'C', 'G', 'E', 'P', 'H', 'M', 'J', 'K', 'N', 'L', 'I', 'O']","[0.9673172235488892, 0.011438976041972637, 0.00978427566587925, 0.006317202467471361, 0.0035436295438557863, 0.0004871303681284189, 0.0004505219403654337, 0.00013527122791856527, 0.00012125633656978607, 5.817942655994557e-05, 4.6748486056458205e-05, 3.875585025525652e-05, 3.698109139804728e-05, 3.314963760203682e-05, 3.0183089620550163e-05, 1.964050898095593e-05]"
bicycle1-boat3,2024-02-08 11:11:08,"['C', 'A', 'B', 'D', 'E', 'F', 'G', 'I', 'M', 'J', 'H', 'P', 'K', 'L', 'N', 'R']","[0.9929295182228088, 0.0043195863254368305, 0.0014928090386092663, 0.0010259917471557856, 3.147016468574293e-05, 2.691785994102247e-05, 2.528698678361252e-05, 1.8213533621747047e-05, 1.7379476048517972e-05, 1.5824194633751176e-05, 1.4408090464712586e-05, 1.3748296623816714e-05, 1.1944726793444715e-05, 9.74900285655167e-06, 8.738949873077217e-06, 4.902106411464047e-06]"
bird5-bear3,2024-02-08 11:11:08,"['D', 'B', 'A', 'C', 'E', 'F', 'G', 'H', 'M', 'J', 'L', 'K', 'I', 'P', 'N', 'R']","[0.9873768091201782, 0.005602297373116016, 0.005181277636438608, 0.0016050849808380008, 4.211091436445713e-05, 3.491117604426108e-05, 1.7830881915870123e-05, 1.7554442820255645e-05, 1.501510814705398e-05, 1.4105389709584415e-05, 1.2643989975913428e-05, 1.206497927341843e-05, 1.0814977940754034e-05, 1.0002218914451078e-05, 6.767839749954874e-06, 6.114234111009864e-06]"
dog1-knife3,2024-02-08 11:11:09,"['K', 'M', 'C', 'A', 'N', 'B', 'G', 'D', 'J', 'H', 'P', 'L', 'F', 'Q', 'O', 'E']","[0.9181533455848694, 0.027295980602502823, 0.0206040870398283, 0.00943323876708746, 0.009001258760690689, 0.0071205818094313145, 0.0028323717415332794, 0.0017179202986881137, 0.0010919765336439013, 0.0006319875828921795, 0.0005321868811734021, 0.00045520352432504296, 0.00024365290300920606, 0.00012839605915360153, 0.00010644408030202612, 9.248020796803758e-05]"
clock2-elephant2,2024-02-08 11:11:09,"['J', 'D', 'A', 'B', 'C', 'G', 'H', 'M', 'I', 'K', 'L', 'N', 'E', 'F', 'P', 'Q']","[0.9865301847457886, 0.007187323644757271, 0.003189355367794633, 0.0014375551836565137, 0.0006280213128775358, 0.0002498096146155149, 0.0001827646337915212, 0.00010413614654680714, 8.499345130985603e-05, 7.15716669219546e-05, 5.5740063544362783e-05, 4.621013795258477e-05, 4.207480378681794e-05, 3.17597332468722e-05, 2.3235917979036458e-05, 2.2171867385623045e-05]"
knife3-bear2,2024-02-08 11:11:09,"['B', 'K', 'C', 'A', 'D', 'G', 'H', 'M', 'J', 'L', 'P', 'F', 'N', 'E', 'R', 'Q']","[0.4784931540489197, 0.4157220721244812, 0.059890445321798325, 0.02169088087975979, 0.010407397523522377, 0.004690981935709715, 0.002147688064724207, 0.002049338072538376, 0.0014760829508304596, 0.0011676776921376586, 0.000730714004021138, 0.00043632928282022476, 0.00020935307838954031, 0.0001735598052619025, 0.00011743644427042454, 9.510291420156136e-05]"
truck5-car1,2024-02-08 11:11:09,"['P', 'C', 'B', 'A', 'D', 'G', 'F', 'E', 'M', 'N', 'K', 'O', 'R', 'H', 'L', 'J']","[0.9846396446228027, 0.006738927215337753, 0.0031338923145085573, 0.002944019390270114, 0.0013064006343483925, 0.00043080520117655396, 0.00031029735691845417, 0.00010232519707642496, 7.370208913926035e-05, 4.1994175262516364e-05, 3.9449878386221826e-05, 3.648517304100096e-05, 3.536264557624236e-05, 3.219805148546584e-05, 2.3556600353913382e-05, 1.7234377082786523e-05]"
cat9-truck1,2024-02-08 11:11:10,"['H', 'G', 'B', 'D', 'A', 'C', 'F', 'E', 'K', 'J', 'L', 'M', 'N', 'I', 'P', 'O']","[0.8198358416557312, 0.11627744883298874, 0.027190133929252625, 0.012448549270629883, 0.012065548449754715, 0.006983003579080105, 0.002910949056968093, 0.0006101680919528008, 0.0003643480013124645, 0.00025041247135959566, 0.00023524073185399175, 0.0001518828357802704, 0.00013829089584760368, 0.00010276906687067822, 7.063207885948941e-05, 5.3315892728278413e-05]"
keyboard2-elephant1,2024-02-08 11:11:10,"['L', 'M', 'A', 'B', 'P', 'C', 'N', 'D', 'K', 'G', 'E', 'O', 'F', 'H', 'J', 'I']","[0.4267931878566742, 0.13016456365585327, 0.08273762464523315, 0.08145490288734436, 0.07076924294233322, 0.06859190762042999, 0.05686469003558159, 0.046411607414484024, 0.009881600737571716, 0.008192135021090508, 0.0046677375212311745, 0.004119264427572489, 0.0030137181747704744, 0.0021370460744947195, 0.0015634963056072593, 0.0009336062939837575]"
bear4-boat2,2024-02-08 11:11:10,"['B', 'G', 'C', 'A', 'D', 'F', 'H', 'K', 'M', 'L', 'E', 'J', 'P', 'N', 'R', 'O']","[0.5252572894096375, 0.3724631667137146, 0.03987554460763931, 0.03925733268260956, 0.016884369775652885, 0.002321035135537386, 0.0009232439333572984, 0.0006860966677777469, 0.00047897265176288784, 0.00046423624735325575, 0.0003970822726842016, 0.00025240087416023016, 0.0002371086593484506, 0.0001483788073528558, 4.386069122119807e-05, 4.318069477449171e-05]"
cat10-oven2,2024-02-08 11:11:10,"['O', 'M', 'A', 'P', 'B', 'N', 'C', 'D', 'E', 'G', 'K', 'J', 'I', 'L', 'F', 'H']","[0.45912396907806396, 0.35756608843803406, 0.07854685187339783, 0.07264396548271179, 0.008409149013459682, 0.005021331831812859, 0.004034753423184156, 0.0036736850161105394, 0.002816711785271764, 0.0013943735975772142, 0.0012305303243920207, 0.001155976322479546, 0.0009288529981859028, 0.0007233914220705628, 0.0005997125990688801, 0.0005633778055198491]"
keyboard6-elephant1,2024-02-08 11:11:11,"['M', 'A', 'D', 'P', 'B', 'C', 'N', 'L', 'K', 'J', 'G', 'E', 'H', 'The', 'R', 'F']","[0.9923296570777893, 0.0032586248125880957, 0.001161898486316204, 0.0010094749741256237, 0.0008368841372430325, 0.00044795181020163, 0.00023977132514119148, 8.416764467256144e-05, 6.977743760216981e-05, 5.9683799918275326e-05, 5.695068102795631e-05, 4.576115679810755e-05, 4.2322149965912104e-05, 3.563882637536153e-05, 3.347957681398839e-05, 3.244951585656963e-05]"
bicycle7-elephant2,2024-02-08 11:11:11,"['C', 'A', 'B', 'D', 'E', 'F', 'P', 'G', 'H', 'M', 'K', 'J', 'L', 'N', 'I', 'R']","[0.9977052807807922, 0.001365755801089108, 0.0005024334532208741, 0.0003453170938882977, 1.0928108167718165e-05, 7.871220077504404e-06, 7.871220077504404e-06, 6.732611836923752e-06, 5.1620722842926625e-06, 5.003252681490267e-06, 4.484886176214786e-06, 4.415354851516895e-06, 3.776652874876163e-06, 3.3853700642794138e-06, 3.130955292363069e-06, 2.3633690489077708e-06]"
dog8-dog3,2024-02-08 11:11:11,"['K', 'C', 'A', 'B', 'G', 'J', 'D', 'M', 'L', 'P', 'H', 'N', 'Q', 'F', 'E', 'O']","[0.9620153307914734, 0.026450639590620995, 0.0035242068115621805, 0.003259358461946249, 0.0011990510392934084, 0.0008113184594549239, 0.0007159860688261688, 0.0005843707476742566, 0.000271757657174021, 0.0002361071528866887, 0.00022884286590851843, 0.00018677610205486417, 6.871109508210793e-05, 6.454809044953436e-05, 4.872346107731573e-05, 4.6492252295138314e-05]"
bottle7-elephant2,2024-02-08 11:11:12,"['L', 'D', 'A', 'C', 'M', 'B', 'P', 'N', 'E', 'G', 'K', 'O', 'H', 'J', 'F', 'I']","[0.9247352480888367, 0.019494501873850822, 0.012586597353219986, 0.008516516536474228, 0.007060440257191658, 0.00603911466896534, 0.005085444543510675, 0.0030366575811058283, 0.0027649083640426397, 0.0024400230031460524, 0.0019914887379854918, 0.0018132711993530393, 0.0010331707308068871, 0.0008837178465910256, 0.0008301759953610599, 0.000792159466072917]"
knife3-cat1,2024-02-08 11:11:12,"['H', 'B', 'A', 'G', 'D', 'C', 'F', 'K', 'J', 'E', 'L', 'M', 'N', 'I', 'P', 'T']","[0.9785424470901489, 0.0062914346344769, 0.004602912347763777, 0.00453155068680644, 0.002243280177935958, 0.0018890313804149628, 0.0004149651213083416, 0.0003440181608311832, 0.0002764263772405684, 0.00018703941896092147, 0.00017847426352091134, 0.00010011498670792207, 6.669096183031797e-05, 5.978138869977556e-05, 4.8035701183835045e-05, 3.199867205694318e-05]"
dog2-bottle2,2024-02-08 11:11:12,"['F', 'B', 'D', 'A', 'C', 'E', 'G', 'P', 'H', 'M', 'J', 'N', 'K', 'L', 'I', 'R']","[0.980517566204071, 0.0074863433837890625, 0.00556337833404541, 0.0032198361586779356, 0.0020788826514035463, 0.00036694458685815334, 0.00016799946024548262, 0.00014825900143478066, 0.00010846860823221505, 5.2863375458400697e-05, 3.6904584703734145e-05, 3.413116428419016e-05, 3.0594976124120876e-05, 2.965366729767993e-05, 2.5364126486238092e-05, 1.562638681207318e-05]"
boat1-bird3,2024-02-08 11:11:12,"['N', 'C', 'A', 'M', 'D', 'B', 'P', 'G', 'K', 'F', 'H', 'E', 'O', 'J', 'L', 'I']","[0.7219301462173462, 0.08895924687385559, 0.05229644477367401, 0.05229644477367401, 0.033765122294425964, 0.020162075757980347, 0.016200684010982513, 0.002728640101850033, 0.00237068347632885, 0.0017617425182834268, 0.0014155999524518847, 0.0012108267983421683, 0.0011920547112822533, 0.0008452932815998793, 0.0006899083382450044, 0.000481633614981547]"
dog8-keyboard3,2024-02-08 11:11:13,"['M', 'A', 'B', 'D', 'C', 'P', 'N', 'G', 'J', 'F', 'K', 'L', 'H', 'E', 'O', 'I']","[0.9242244958877563, 0.022778794169425964, 0.012579645030200481, 0.01163426972925663, 0.009645148180425167, 0.006526234094053507, 0.003180632134899497, 0.0023270004894584417, 0.0012455536052584648, 0.0011519487015902996, 0.0009853140218183398, 0.0007322230958379805, 0.0005527110188268125, 0.000519223976880312, 0.0005111740902066231, 0.0004304517642594874]"
chair7-clock3,2024-02-08 11:11:13,"['J', 'I', 'D', 'A', 'M', 'B', 'C', 'H', 'G', 'N', 'E', 'L', 'F', 'K', 'P', 'Q']","[0.7145245671272278, 0.1835050880908966, 0.03139401972293854, 0.02858458086848259, 0.024070627987384796, 0.007341127842664719, 0.003991301637142897, 0.002309988019987941, 0.001563016208820045, 0.0005235448479652405, 0.00043403389281593263, 0.00042068009497597814, 0.00037709521711803973, 0.0002716114977374673, 0.00013445744116324931, 8.68122442625463e-05]"
keyboard1-chair2,2024-02-08 11:11:13,"['M', 'A', 'B', 'D', 'C', 'I', 'P', 'G', 'J', 'N', 'L', 'E', 'H', 'K', 'F', 'The']","[0.9882787466049194, 0.006063060835003853, 0.001849129213951528, 0.0017922373954206705, 0.0008078247192315757, 0.00027058739215135574, 0.00012982924818061292, 0.00010932718578260392, 9.648090053815395e-05, 8.51441000122577e-05, 8.12450671219267e-05, 6.0376201872713864e-05, 5.671819963026792e-05, 5.005363345844671e-05, 3.549333996488713e-05, 3.440132786636241e-05]"
boat3-chair3,2024-02-08 11:11:13,"['I', 'A', 'C', 'E', 'D', 'B', 'J', 'M', 'H', 'G', 'N', 'L', 'F', 'K', 'P', 'O']","[0.9410068988800049, 0.02931796759366989, 0.009668039157986641, 0.004937950987368822, 0.00463877571746707, 0.0024065650068223476, 0.0019037496531382203, 0.0012100969906896353, 0.0009723402326926589, 0.0008187925559468567, 0.0007225819281302392, 0.0006477182032540441, 0.0003577039751689881, 0.0003466985945124179, 0.0002617018180899322, 0.00023828221310395747]"
truck5-dog3,2024-02-08 11:11:14,"['P', 'C', 'B', 'A', 'G', 'D', 'F', 'E', 'M', 'K', 'N', 'O', 'H', 'R', 'L', 'J']","[0.9859447479248047, 0.006540249101817608, 0.0022958433255553246, 0.0020579807460308075, 0.001172602060250938, 0.001018774346448481, 0.000398957752622664, 0.00010087231930810958, 8.362608787138015e-05, 6.411835056496784e-05, 4.993542097508907e-05, 4.271202487871051e-05, 3.8286816561594605e-05, 3.710885357577354e-05, 2.8900403776788153e-05, 2.081618004012853e-05]"
bicycle1-elephant2,2024-02-08 11:11:14,"['C', 'A', 'B', 'D', 'E', 'F', 'P', 'G', 'H', 'M', 'J', 'L', 'K', 'I', 'N', 'R']","[0.9976525902748108, 0.0013871900737285614, 0.0005103186704218388, 0.00037335712113417685, 1.1099614312115591e-05, 7.994752195372712e-06, 6.6278826125198975e-06, 6.324369678623043e-06, 4.925424491375452e-06, 4.555272425932344e-06, 3.9576893868797924e-06, 3.896331236319384e-06, 3.835924417217029e-06, 3.0822516237094533e-06, 3.0822516237094533e-06, 2.220062697233516e-06]"
dog3-truck2,2024-02-08 11:11:14,"['G', 'C', 'B', 'A', 'D', 'F', 'H', 'K', 'N', 'L', 'M', 'E', 'J', 'P', 'O', 'I']","[0.9478491544723511, 0.01998176984488964, 0.009738337248563766, 0.008729388937354088, 0.005999614950269461, 0.0019175922498106956, 0.0015169404214248061, 0.0009345599100925028, 0.0006837385590188205, 0.0006837385590188205, 0.0005580511642619967, 0.0004212391213513911, 0.00030818511731922626, 0.0001410974218742922, 9.399114787811413e-05, 7.792140240781009e-05]"
cat5-bicycle3,2024-02-08 11:11:14,"['H', 'B', 'A', 'C', 'G', 'D', 'F', 'E', 'K', 'J', 'L', 'M', 'N', 'I', 'P', 'T']","[0.9715740084648132, 0.009377305395901203, 0.00577718997374177, 0.00517863966524601, 0.0036152733955532312, 0.002771926112473011, 0.0004892740398645401, 0.0002460224204696715, 0.00021043412561994046, 0.0001690885837888345, 0.00013376008428167552, 8.502307900926098e-05, 5.575949762715027e-05, 4.998249278287403e-05, 4.550957601168193e-05, 3.7143832742003724e-05]"
airplane1-chair2,2024-02-08 11:11:15,"['I', 'A', 'C', 'D', 'E', 'B', 'J', 'H', 'G', 'L', 'M', 'N', 'K', 'F', 'P', 'O']","[0.928083598613739, 0.032257381826639175, 0.016220029443502426, 0.005874504800885916, 0.0049468292854726315, 0.0031939127948135138, 0.002410891931504011, 0.001606000354513526, 0.0012122726766392589, 0.0008202647441066802, 0.0007827020599506795, 0.0007126583368517458, 0.0004322491295170039, 0.000331416871631518, 0.00026630095089785755, 0.0002621723397169262]"
keyboard6-bicycle1,2024-02-08 11:11:15,"['M', 'A', 'B', 'D', 'C', 'P', 'J', 'N', 'G', 'L', 'K', 'H', 'E', 'F', 'I', 'Q']","[0.985607385635376, 0.006141893565654755, 0.0031369724310934544, 0.0022594763431698084, 0.0014588275225833058, 0.00034112989669665694, 0.00012947831419296563, 0.00012947831419296563, 0.00011074866779381409, 9.472835517954081e-05, 9.039042924996465e-05, 6.212437438080087e-05, 5.927948950557038e-05, 4.336980055086315e-05, 4.138375152251683e-05, 3.484861372271553e-05]"
oven6-bicycle1,2024-02-08 11:11:15,"['I', 'A', 'M', 'C', 'D', 'J', 'B', 'F', 'E', 'N', 'H', 'G', 'O', 'L', 'K', 'P']","[0.6820879578590393, 0.130178764462471, 0.033432669937610626, 0.026863904669880867, 0.026447419077157974, 0.02563372068107128, 0.017617780715227127, 0.014605652540922165, 0.014379212632775307, 0.006583283189684153, 0.005373119842261076, 0.0052078054286539555, 0.004454472102224827, 0.001976660219952464, 0.001828111708164215, 0.0015636668540537357]"
boat9-cat3,2024-02-08 11:11:16,"['E', 'A', 'D', 'B', 'C', 'O', 'F', 'G', 'H', 'N', 'I', 'J', 'L', 'P', 'K', 'M']","[0.9473487138748169, 0.01604732684791088, 0.015553602017462254, 0.007944002747535706, 0.007347001228481531, 0.0023482427932322025, 0.0007389074307866395, 0.00047707444173283875, 0.0004343812179286033, 0.00029391705174930394, 0.00025938087492249906, 0.00020200603466946632, 0.00019579095533117652, 0.0001897671027109027, 0.00017826969269663095, 0.0001597999216755852]"
bear10-elephant1,2024-02-08 11:11:16,"['L', 'D', 'A', 'B', 'C', 'M', 'P', 'G', 'N', 'K', 'H', 'E', 'J', 'I', 'R', 'F']","[0.9825884103775024, 0.00515615101903677, 0.003656258573755622, 0.0027171005494892597, 0.0019267129246145487, 0.0011504926951602101, 0.0004721613076981157, 0.00043667780118994415, 0.0004102208185940981, 0.0002607522183097899, 0.0002161711745429784, 0.00020627198682632297, 0.00018203438958153129, 0.00018203438958153129, 0.00012908171629533172, 0.00010211203334620222]"
bear10-oven1,2024-02-08 11:11:16,"['B', 'C', 'A', 'D', 'K', 'G', 'H', 'F', 'M', 'P', 'E', 'J', 'L', 'N', 'R', 'T']","[0.949009895324707, 0.024898167699575424, 0.014186549000442028, 0.007713093422353268, 0.0011828411370515823, 0.0011645028134807944, 0.0006233134772628546, 0.00047050166176632047, 0.00022224924759939313, 0.00010498311166884378, 0.0001033555090543814, 7.103513780748472e-05, 4.44526485807728e-05, 2.8925891456310637e-05, 2.8255821234779432e-05, 1.768204128893558e-05]"
chair8-bicycle3,2024-02-08 11:11:16,"['I', 'A', 'C', 'D', 'E', 'B', 'J', 'H', 'G', 'M', 'L', 'N', 'F', 'O', 'K', 'P']","[0.9076061844825745, 0.041143275797367096, 0.020367400720715523, 0.011247946880757809, 0.005069846753031015, 0.0046888417564332485, 0.002113426337018609, 0.002016645623371005, 0.001149049960076809, 0.0010964312823489308, 0.0007774861296638846, 0.000707909232005477, 0.0004570605233311653, 0.00036156459827907383, 0.00032410441781394184, 0.000248499505687505]"
bird3-bird2,2024-02-08 11:11:17,"['D', 'A', 'B', 'C', 'E', 'F', 'G', 'H', 'M', 'L', 'J', 'I', 'K', 'P', 'N', 'R']","[0.9935557246208191, 0.003473074408248067, 0.0021396991796791553, 0.0007055978057906032, 2.6106137738679536e-05, 1.4874827684252523e-05, 9.164115908788517e-06, 8.344022717210464e-06, 7.716959771641996e-06, 7.0263718043861445e-06, 6.704610314045567e-06, 6.600665528821992e-06, 6.104617568780668e-06, 5.825066637044074e-06, 4.066552264703205e-06, 3.319023107906105e-06]"
oven3-elephant3,2024-02-08 11:11:17,"['L', 'D', 'A', 'B', 'C', 'M', 'E', 'P', 'N', 'G', 'F', 'K', 'O', 'I', 'J', 'H']","[0.7818971872329712, 0.05935867503285408, 0.039541397243738174, 0.02253001183271408, 0.019270939752459526, 0.015728481113910675, 0.015484633855521679, 0.012059446424245834, 0.007314423099160194, 0.0065566073171794415, 0.00472254678606987, 0.003097121836617589, 0.0030491051729768515, 0.0029552942141890526, 0.002776242094114423, 0.0026491086464375257]"
chair5-keyboard2,2024-02-08 11:11:17,"['M', 'A', 'D', 'B', 'C', 'P', 'G', 'J', 'N', 'L', 'K', 'I', 'E', 'H', 'F', 'Q']","[0.9822176098823547, 0.00715590501204133, 0.004141520243138075, 0.0033278048504143953, 0.001323709380812943, 0.0004100660153198987, 0.0002566127514000982, 0.00017094095528591424, 0.00015564350178465247, 0.00011933601490454748, 0.00010207349987467751, 8.330996206495911e-05, 7.70491169532761e-05, 7.467857358278707e-05, 5.0530048611108214e-05, 4.5294840674614534e-05]"
truck5-keyboard1,2024-02-08 11:11:17,"['P', 'C', 'A', 'B', 'G', 'D', 'F', 'M', 'N', 'E', 'K', 'O', 'H', 'J', 'L', 'R']","[0.9564234018325806, 0.022847134619951248, 0.005960030946880579, 0.0039086840115487576, 0.0032914415933191776, 0.0030920233111828566, 0.0013092451263219118, 0.0009430139325559139, 0.0007817859295755625, 0.0003870121145155281, 0.0002659892779774964, 0.00016645183495711535, 0.00012369650357868522, 9.337101801065728e-05, 8.501528645865619e-05, 7.386255310848355e-05]"
bottle6-bicycle3,2024-02-08 11:11:18,"['F', 'B', 'D', 'C', 'A', 'E', 'P', 'G', 'H', 'M', 'J', 'N', 'K', 'L', 'I', 'R']","[0.980016827583313, 0.007139870896935463, 0.004468017257750034, 0.004197313915938139, 0.003320348681882024, 0.00028120249044150114, 0.00011361608630977571, 9.718098590383306e-05, 8.443230035481974e-05, 4.3802901927847415e-05, 3.0579354643123224e-05, 2.828127981047146e-05, 2.4571199901401997e-05, 2.3082508050720207e-05, 2.1347830625018105e-05, 1.4903185729053803e-05]"
oven5-elephant1,2024-02-08 11:11:18,"['F', 'D', 'L', 'B', 'A', 'P', 'C', 'M', 'G', 'E', 'N', 'J', 'H', 'K', 'O', 'I']","[0.6654069423675537, 0.08592921495437622, 0.07947152853012085, 0.06286715716123581, 0.026619629934430122, 0.01829538494348526, 0.01829538494348526, 0.01745757646858692, 0.008508143946528435, 0.0062246909365057945, 0.003546722000464797, 0.001958685927093029, 0.0018114882986992598, 0.0012450165813788772, 0.0008038431406021118, 0.000709389103576541]"
car4-bird1,2024-02-08 11:11:18,"['G', 'C', 'B', 'A', 'D', 'F', 'E', 'H', 'L', 'N', 'K', 'M', 'J', 'P', 'O', 'W']","[0.9647667407989502, 0.007251884322613478, 0.006602915935218334, 0.006399765145033598, 0.0057367123663425446, 0.004609578289091587, 0.0011296255979686975, 0.0009076798451133072, 0.000559205305762589, 0.0005335973692126572, 0.0004221102863084525, 0.0002768266713246703, 0.00022593935136683285, 0.00012873637024313211, 8.575691026635468e-05, 5.712641359423287e-05]"
car4-bottle1,2024-02-08 11:11:18,"['F', 'G', 'B', 'D', 'C', 'A', 'E', 'H', 'P', 'N', 'J', 'K', 'M', 'L', 'O', 'I']","[0.8916791677474976, 0.06459302455186844, 0.013539432547986507, 0.010381043888628483, 0.008472760207951069, 0.008341401815414429, 0.0007520002545788884, 0.0005168417119421065, 0.00038408415275625885, 0.00027235643938183784, 0.00021211139392107725, 0.00018428558541927487, 0.00017584653687663376, 0.00012665749818552285, 8.177623385563493e-05, 5.038087329012342e-05]"
bottle5-keyboard2,2024-02-08 11:11:19,"['M', 'A', 'B', 'D', 'C', 'P', 'F', 'G', 'N', 'L', 'J', 'E', 'K', 'H', 'W', 'The']","[0.990113377571106, 0.003921873401850462, 0.0022346163168549538, 0.0020346411038190126, 0.0005921143456362188, 0.00021112487593200058, 0.00019525858806446195, 9.22336257644929e-05, 8.66454720380716e-05, 6.438945274567232e-05, 5.862725811311975e-05, 5.862725811311975e-05, 4.6377979742828757e-05, 4.6377979742828757e-05, 2.7693555239238776e-05, 2.7693555239238776e-05]"
knife10-elephant3,2024-02-08 11:11:19,"['L', 'D', 'A', 'C', 'M', 'B', 'P', 'G', 'N', 'K', 'I', 'E', 'J', 'H', 'R', 'F']","[0.9913498163223267, 0.0026988275349140167, 0.0018840853590518236, 0.0009622966172173619, 0.000862597138620913, 0.0005483001004904509, 0.00028893386479467154, 0.0002433067129459232, 0.00017800697241909802, 0.000172530286363326, 0.00014757296594325453, 0.00014081510016694665, 0.00013436672452371567, 0.0001167398295365274, 8.023402915569022e-05, 4.8664402129361406e-05]"
truck7-keyboard3,2024-02-08 11:11:19,"['M', 'A', 'B', 'D', 'C', 'P', 'G', 'N', 'J', 'L', 'K', 'E', 'H', 'I', 'F', 'Q']","[0.9859992861747742, 0.006049076095223427, 0.002406156389042735, 0.0018448642222210765, 0.0012289445148780942, 0.0009874847019091249, 0.00032058931537903845, 0.00017159910930786282, 0.00013788376236334443, 0.0001216819800902158, 0.00011610975343501195, 8.494771464029327e-05, 7.265962631208822e-05, 5.8383651776239276e-05, 5.65873779123649e-05, 4.61852723674383e-05]"
bear10-car2,2024-02-08 11:11:20,"['G', 'C', 'B', 'A', 'D', 'F', 'L', 'H', 'K', 'N', 'M', 'E', 'J', 'P', 'O', 'W']","[0.9700621962547302, 0.009217558428645134, 0.005090419203042984, 0.004857311956584454, 0.0036664914805442095, 0.002258859807625413, 0.0009126619552262127, 0.0008985123713500798, 0.0006272626924328506, 0.0005801231600344181, 0.00045180038432590663, 0.00043789995834231377, 0.00027834612410515547, 0.00017418456263840199, 7.26109356037341e-05, 6.407892215065658e-05]"
