image,response,timestamp,pred_label,pred_conf,pred_llm_judge
knife8-cat2,"A brown object, possibly a brush or a comb, is laying on a table.",,dog,0.79905003,X
knife10-chair1,A red chair in a movie theater.,,chair,1.0,I
knife4-bear1,A close up of a brown furry object.,,dog,0.9779863,B
knife7-chair2,A bunch of chairs.,,chair,1.0,I
knife4-cat2,A blurry photo of a bug.,,airplane,0.7488907,X
knife1-dog1,"A close up of a furry, fluffy animal.",,dog,0.97810453,B
knife5-clock1,A collage of various clocks and glasses.,,clock,1.0,J
knife6-airplane1,A blurry image of a rocket ship.,,boat,0.70715547,X
knife7-bottle3,A bunch of paper with writing on it.,,airplane,0.8052006,X
knife8-boat1,"A colorful, abstract image of a plane.",,airplane,1.0,A
knife8-bottle3,Bottles of green liquid are stacked on top of each other.,,bottle,1.0,F
knife7-airplane3,A blurry picture of a cell phone.,,airplane,0.98817134,X
knife6-bird1,A blue fork is shown in the image.,,knife,0.93628395,X
knife10-keyboard3,A close up of a black object with a silver logo.,,airplane,0.8644788,X
knife7-car2,A blurry picture of a car.,,car,0.99937916,G
knife1-car3,A red car with a blurry background.,,car,0.9995896,G
knife9-boat1,"A colorful, abstract painting of a cityscape.",,airplane,0.7967225,X
knife6-dog2,A blurry image of a cat's face.,,cat,0.999995,H
knife9-chair1,A blurry image of a red auditorium with many chairs.,,chair,0.9999579,I
knife7-elephant2,A close up of a leather surface with wrinkles and folds.,,airplane,0.34439278,X
knife4-oven2,A black and white photo of a piano.,,keyboard,0.9141417,M
knife10-knife1,A guitar with many strings.,,boat,0.59219205,X
cat7-knife2,A hand with a cat's head on it.,,cat,0.9992285,X
cat4-oven1,A cat is sitting on a metal object.,,cat,0.9999517,H
cat1-keyboard3,A black cat with a keyboard on its head.,,keyboard,0.69579357,"H, M"
cat8-bear1,A small brown cat with black eyes.,,cat,0.9999988,H
cat4-dog3,A dog laying down.,,dog,0.9999913,K
cat7-truck2,A red truck with a chrome grill.,,truck,0.99999976,P
cat8-bird2,A small kitten is sitting down.,,cat,0.99701536,H
cat4-knife1,A face with a mouth and eyes is shown.,,dog,0.8512877,X
cat1-airplane1,A cat with a red nose is looking at the camera.,,cat,0.99999833,H
cat5-airplane2,A painting of a bird with a blue background.,,bird,0.9994868,D
cat6-keyboard3,Cat sitting on a keyboard.,,cat,0.5962005,"H, M"
cat4-clock2,A cat is standing in front of a clock.,,clock,0.99040645,"H, J"
cat9-truck1,A red cat is laying on a red surface.,,cat,0.99999905,H
cat9-bottle2,A bunch of bottles in a pile.,,bottle,1.0,F
cat5-bear2,A kitten is laying on a blanket.,,cat,0.99993825,X
cat9-dog2,A cat is laying down on a surface.,,cat,0.99999964,H
cat4-cat3,A cat with orange fur.,,cat,0.99999964,H
cat10-oven2,A black and white image of a chair.,,chair,0.99999976,I
cat6-clock3,A cat is sitting on a clock.,,clock,0.86423707,"H, J"
cat2-boat2,"A colorful, abstract image of a cat's face.",,cat,0.9999858,H
cat7-dog3,A cat is laying on a white surface.,,cat,0.9999994,H
cat2-knife3,A painting of a hand holding scissors.,,knife,0.99897766,X
cat4-airplane1,A collage of newspaper images with a face.,,airplane,0.9597336,X
cat10-elephant3,A cat laying on a rock.,,cat,0.9999939,H
cat2-truck3,"A cat's face is shown in a blurry, colorful, and abstract manner.",,cat,0.99998057,H
cat5-bicycle3,A cat with a yellow eye is sitting in a room.,,cat,0.9999728,H
cat9-clock2,A cat is laying down on a bed.,,cat,0.9999995,H
cat6-chair3,A blue and white photo of chairs.,,chair,0.99999774,I
cat7-clock3,A clock with a cat face on it.,,clock,0.9997594,"J, H"
cat7-airplane2,A cat with a yellow background.,,cat,0.99999785,H
cat5-knife2,A cat with green eyes.,,cat,0.99999976,H
cat10-bird2,A cat laying on a bed.,,cat,0.9999995,H
cat1-car2,A cat with yellow eyes.,,cat,0.99999976,H
cat5-boat1,"A colorful, abstract painting of a dog's face.",,dog,0.9996717,K
cat5-chair3,A blue and white chair with a blue and white chair in the background.,,chair,1.0,I
cat2-car3,A red dog with a red nose and a red tongue.,,dog,0.99996245,K
cat8-car2,A dog's face with glasses is shown.,,dog,0.9999987,K
cat5-elephant2,A cat is sitting on a table.,,cat,0.999995,H
cat9-boat2,"A colorful, abstract image of a car.",,car,0.9994475,G
cat10-bicycle1,"A collage of various metal objects, including a car, a motorcycle, and a bicycle, all made of metal.",,bicycle,0.9944048,"G, P, C"
cat3-bear2,A cat laying on a white surface.,,cat,0.99999905,H
cat6-bear1,A cat is laying down with a kitten on its lap.,,cat,0.9999999,"H, K"
cat10-bear1,A brown bear is laying down on a bed of hay.,,bear,0.99999774,B
cat9-cat3,A cat is laying on the ground.,,cat,0.9999995,H
cat4-chair2,A wooden chair is sitting in the middle of a room with other chairs surrounding it.,,chair,0.9999999,I
cat1-dog1,A cat with yellow eyes.,,cat,0.99999976,H
cat10-airplane3,A painting of a person's head with a blue sky in the background.,,airplane,0.955644,X
cat10-keyboard1,"A close up of a black object, possibly a piece of metal or a tool.",,knife,0.77747095,X
cat1-boat1,A cat with a red collar.,,cat,0.9999993,H
cat7-elephant1,A cat laying on a rock.,,cat,0.9999939,H
cat1-chair2,A stack of wooden chairs.,,chair,1.0,I
cat4-truck3,"A colorful, abstract image of a car.",,car,0.9994475,G
cat5-car2,A colorful image of a cat and a car.,,cat,0.90389746,"G, H"
cat4-car2,A colorful fishing lure with a red and black body.,,boat,0.88004744,X
cat3-oven2,A black cat is laying on a table.,,cat,0.99998605,H
cat7-boat3,"A colorful, abstract image of a dog with a red nose.",,dog,0.99825734,K
cat8-bicycle3,A cat's face is shown in a close-up.,,cat,0.999998,H
cat5-keyboard3,A cat is sitting on a keyboard.,,keyboard,0.59156674,"H, M"
cat2-bottle3,A green and white cat with a green bottle in its mouth.,,bottle,0.9786578,"H, F"
cat4-bird2,A black and white cat sitting on a pole.,,cat,0.99999094,H
cat9-knife2,A cat is on a piece of paper.,,cat,0.99997735,H
cat9-bicycle1,A bunch of metal objects in a pile.,,truck,0.7292169,X
cat5-bottle1,A cat is surrounded by a large number of bottles.,,bottle,0.9016524,"H, F"
cat2-cat1,A small cat with brown fur and blue eyes.,,cat,0.99999404,H
cat9-chair2,A room full of wooden chairs.,,chair,1.0,I
cat10-clock1,A clock with many faces is shown in the image.,,clock,1.0,J
cat3-bicycle1,A cat is laying down in a pile of metal.,,cat,0.99999857,H
cat10-bottle1,A bunch of bottles of different sizes and shapes.,,bottle,1.0,F
cat1-oven1,A cat wearing glasses.,,cat,0.99999917,H
cat7-bottle1,A bunch of bottles and cans of various liquids and food items.,,bottle,0.9999999,F
cat1-cat3,A cat with yellow eyes.,,cat,0.99999976,H
cat9-bird3,A cat is laying on a white surface.,,cat,0.9999994,H
cat6-oven1,A cat is sitting on a table.,,cat,0.999995,H
cat1-bird1,A cat with blue eyes.,,cat,0.9999982,H
cat2-elephant1,A cat with blue eyes.,,cat,0.9999982,H
cat5-dog3,Two kittens are laying down together.,,cat,0.999997,X
cat3-cat1,A cat is laying on a white surface.,,cat,0.9999994,H
cat3-truck3,A colorful painting of a yellow chair.,,chair,0.9999994,I
cat3-elephant2,A cat is laying down on a table.,,cat,0.99999547,H
cat4-keyboard2,A keypad with a key missing.,,keyboard,0.99999654,X
boat4-car3,"A red car with a white roof is in the foreground of a colorful, blurry cityscape.",,car,0.99985206,G
boat1-bear1,A close-up of a brown furry animal.,,dog,0.99378467,B
boat7-clock3,A clock with a lot of hands and numbers on it.,,clock,1.0,J
boat8-elephant1,A close up of an elephant's skin.,,elephant,1.0,L
boat3-bicycle2,A bunch of metal objects.,,airplane,0.5341109,X
boat6-car1,A colorful fish is seen in a blurry background.,,boat,0.7318887,X
boat1-elephant3,The image shows the back of an elephant.,,elephant,1.0,L
boat6-bear1,A brown bear's paw is shown in the image.,,bear,0.9999552,B
boat2-bottle2,A bunch of bottles of different sizes and shapes.,,bottle,1.0,F
boat9-keyboard2,A blurry image of a keyboard.,,keyboard,0.9999999,M
boat7-elephant3,A sailboat carved into the side of a rock.,,boat,0.99999774,E
boat10-oven1,A space ship with the number 66 on it.,,boat,0.63863206,X
boat6-bottle2,A bunch of bottles of different sizes and colors.,,bottle,1.0,F
boat2-oven3,"A blurry image of a room with a microwave, stereo, and other electronics.",,airplane,0.91047937,X
boat6-clock2,A painting of a boat with a clock on the side.,,boat,0.996554,"E, J"
boat5-knife2,A bunch of papers are piled on top of each other.,,airplane,0.94020724,X
boat4-elephant2,The image is a close-up of a leather surface with a textured pattern.,,airplane,0.58210677,X
boat6-airplane2,A broken piece of glass.,,bottle,0.9503914,X
boat5-clock3,A bunch of clocks are stacked on top of each other.,,clock,1.0,J
boat7-bottle1,A large pile of bottles and cans.,,bottle,0.99999833,F
boat10-truck1,A red helicopter is shown in a close-up view.,,airplane,0.9823141,X
boat1-truck3,A colorful image of a chair with a blue seat.,,chair,0.99999833,I
boat1-car2,A red car with a yellow hood.,,car,0.998524,G
boat1-bird3,A tree branch with leaves.,,airplane,0.51730466,X
boat5-airplane1,"A bunch of papers are cut up and pasted together, creating a collage.",,airplane,0.9880442,X
boat6-dog1,A dog's paw with a long claw.,,dog,0.9997838,K
boat2-bear3,A close up of a dog's face with a brown nose.,,dog,0.99994814,K
boat9-chair2,A bunch of chairs are stacked on top of each other.,,chair,0.9999999,I
boat9-bird1,A blue sail on a boat.,,boat,0.9999982,E
boat8-oven1,A blurry picture of a metal object.,,airplane,0.89062965,X
boat10-bear3,A close up of a furry animal's eye.,,dog,0.9969002,B
boat5-car3,A car is shown in a blurry photo with a red hood.,,car,0.99822515,G
boat3-clock3,A bunch of clocks on a wall.,,clock,1.0,J
boat4-bicycle3,A bunch of wires and metal.,,airplane,0.8433918,X
boat9-cat3,A ship with sails in the background.,,boat,0.999948,X
boat9-airplane2,A painting of a boat on the water.,,boat,1.0,E
boat9-knife2,A bunch of money is shown in the image.,,airplane,0.867211,X
boat6-bicycle2,A black and white image of a bicycle with a silver frame.,,bicycle,0.9999995,C
boat7-truck2,A red object with a silver top.,,bottle,0.8063252,X
boat6-cat1,A bird with brown feathers.,,bird,0.9999956,D
boat5-boat3,A colorful cityscape with a large ship in the foreground.,,boat,0.95583135,E
boat1-oven1,A close up of a watch with a strap.,,boat,0.6018953,J
boat4-chair2,A room with wooden chairs and tables.,,chair,0.9999913,I
boat1-bicycle2,A bunch of bike seats in a row.,,bicycle,0.9904293,C
boat8-truck2,A red car is shown in a blurry photo.,,car,0.9997012,G
boat9-dog2,A picture of a ship with a furry texture.,,boat,0.8738637,X
boat9-bear3,A brown and white image of a ship.,,boat,0.9933646,E
boat8-bottle1,A bunch of bottles and jars of different sizes and shapes.,,bottle,1.0,F
boat7-boat2,A boat in a painting with a red sail.,,boat,1.0,E
boat1-chair3,A blue chair is in the center of the image.,,chair,0.999998,I
boat2-airplane1,A blurry image of a car.,,car,0.9991798,G
boat3-keyboard2,A close up of a keyboard with letters and numbers.,,keyboard,1.0,M
boat10-boat3,A colorful image of a boat with a bird on top.,,boat,0.9883867,E
boat5-bicycle3,A bunch of bikes in a blurry photo.,,bicycle,0.9999938,C
boat6-knife2,A bunch of books are stacked on top of each other.,,bottle,0.7942075,X
boat1-keyboard3,A black and white photo of a cell phone.,,airplane,0.9697313,X
boat7-keyboard3,A blurry photo of a vase.,,bottle,0.63982624,X
boat8-bird2,A silver boat with a black bottom.,,boat,1.0,E
boat3-airplane2,A blue and yellow building with a yellow roof.,,airplane,0.98203903,X
boat7-chair1,A red chair with a person sitting in it.,,chair,1.0,I
boat9-boat3,A colorful sailboat with a mast and sails.,,boat,0.9999994,E
boat2-keyboard1,A piece of paper with black writing on it.,,airplane,0.9633742,X
boat8-knife1,A wooden object with metal parts.,,airplane,0.55938,X
boat10-cat1,A brown and white cat is laying down on a white surface.,,cat,0.99999976,H
boat8-dog3,A cat's tail is visible in the image.,,cat,0.99999595,H
boat4-knife2,"A collage of various images, including a knife, a pair of scissors, and a pair of scissors.",,knife,0.9999993,N
boat3-dog3,A blurry image of a chair.,,chair,0.99999976,I
boat2-bird1,A blue and white boat on the water.,,boat,1.0,E
boat9-clock1,A clock made of letters and numbers.,,clock,1.0,J
boat6-truck3,A chair with a seat and a back.,,chair,1.0,I
boat4-dog2,A blurry picture of a cat.,,cat,0.99999,H
boat7-oven3,A bunch of electronics are stacked on top of each other.,,keyboard,0.49794704,X
boat3-cat3,A boat with a face on it.,,boat,1.0,E
boat4-bird1,A blue and white object is laying on a white surface.,,airplane,0.9813735,X
boat7-cat3,A blurry image of a person's leg.,,bicycle,0.726062,X
boat4-boat3,A colorful painting of a city with a boat in the water.,,boat,0.99999964,E
boat3-chair3,A blue and white chair with a blue seat.,,chair,1.0,I
boat4-bottle2,A bunch of wine bottles are in a pile.,,bottle,0.9999995,F
boat6-elephant2,A brown leaf with a twisted stem.,,bicycle,0.35161972,X
boat3-car3,A red car with a motorcycle on top of it.,,car,0.9266483,G
bird6-bottle3,"A green bird with wings outstretched, surrounded by a bunch of bottles.",,bottle,0.8418474,D
bird10-cat1,A bird with a long beak.,,bird,0.99999607,D
bird10-chair1,A red seat in a theater.,,chair,0.9995727,I
bird7-truck2,A red car is shown in the image.,,car,0.9991737,G
bird9-chair1,A person is sitting in a chair.,,chair,1.0,I
bird6-elephant2,A wooden carving of two birds.,,bird,0.99751616,D
bird7-knife2,A black bird sitting on a branch.,,bird,0.9999212,D
bird7-keyboard3,A black and white photo of a person.,,airplane,0.93681043,X
bird6-car3,A red car with a green tree in the background.,,car,0.9999448,G
bird3-oven1,A blurry picture of a coffee maker.,,airplane,0.5550075,X
bird2-knife1,A hand holding a gun.,,knife,0.8130617,X
bird1-bicycle2,A bird is sitting on a piece of metal.,,bird,0.99990106,D
bird2-airplane3,A person wearing a blue jacket with a white helmet.,,bicycle,0.94054604,X
bird10-bicycle1,A bird with a long beak is surrounded by metal pieces.,,bird,0.9999763,D
bird3-bear3,A close up of a brown bear.,,bear,0.99998784,B
bird1-keyboard3,A close up of a keypad with a blurry background.,,keyboard,0.99979943,X
bird1-oven1,A bird is sitting on a branch.,,bird,0.9999838,D
bird2-clock3,A bird is standing on a clock.,,clock,0.98400104,"D, J"
bird4-dog3,A dog's face with brown fur and a black nose.,,dog,0.9999665,K
bird7-boat1,A bird is perched on a metal bar.,,bird,0.9986545,D
bird5-truck2,A red car with a silver grill.,,car,0.99942493,G
bird4-cat3,A bird's wing is spread out on a white background.,,bird,0.9997204,D
bird1-bear1,A brown bird sitting on the ground.,,bird,0.99981576,D
bird5-car2,A bird with a red head and black body is perched on a car.,,bird,0.96411973,G
bird1-boat1,A bird is sitting on a branch.,,bird,0.9999838,D
bird7-cat3,A bird is perched on a wooden surface.,,bird,0.9996101,D
bird9-bottle3,A bird is perched on a branch surrounded by money.,,bird,0.9999224,D
bird2-bird2,A bird is perched on a tree branch.,,bird,0.99991405,D
bird7-car2,A bird is perched on a metal object.,,bird,0.99981385,D
bird3-boat3,"A colorful, abstract image of a person's head.",,airplane,0.6753981,X
bird3-bird2,A bird with a beak open.,,bird,0.9999654,D
bird6-boat2,"A colorful, abstract image of a car.",,car,0.9994475,G
bird10-elephant2,A picture of a horned animal with a long snout.,,dog,0.80203706,L
bird5-keyboard2,A black keyboard with a bird on it.,,keyboard,0.97700226,M
bird3-knife3,A blurry picture of a camera.,,airplane,0.9479708,X
bird6-truck2,A red car with a black grill.,,car,0.9991684,G
bird7-oven3,A blue bird is perched on a phone.,,bird,0.9999666,D
bird8-chair1,A red chair with a red seat.,,chair,1.0,I
bird5-airplane3,A blue bird perched on a branch.,,bird,0.9997073,D
bird2-car3,"A red car is shown in a blurry, distorted image.",,car,0.9986492,G
bird5-bicycle1,A bird is perched on a branch surrounded by metal.,,bird,0.99963295,D
bird8-bottle1,"A collage of various bottles and cans, including a bird.",,bottle,0.54592717,F
bird3-truck3,"A colorful, abstract image of a bird.",,bird,0.9999639,D
bird9-keyboard1,A black bird is perched on a branch.,,bird,0.9997286,D
bird7-bottle1,A picture of a bird surrounded by many bottles.,,bottle,0.99527705,"D, F"
bird7-bird2,A black bird is perched on a metal rail.,,bird,0.97665715,D
bird1-clock3,A bird is sitting in front of a clock.,,clock,0.7763868,"D, J"
bird5-bear3,A bird with brown feathers is perched on a branch.,,bird,0.99998355,D
bird1-airplane2,A bird sitting on a branch.,,bird,0.9999732,D
bird1-knife3,A hand with a bird on it.,,bird,0.99999666,D
bird10-clock1,A bird is perched on a clock.,,clock,0.8147694,D J
bird3-cat1,A bird with a long beak.,,bird,0.99999607,D
bird8-elephant1,A bird perched on a branch.,,bird,0.9999268,D
bird8-clock1,A clock made of letters is the main focus of the image.,,clock,1.0,J
bird1-elephant2,A bird with a long beak.,,bird,0.99999607,D
bird3-dog1,A bird with brown and white feathers.,,bird,0.99999714,D
bird10-bird2,A black bird with a long beak.,,bird,0.9999951,D
bird5-bird1,A blue bird with a black head.,,bird,0.99998295,D
bird8-knife2,A bird is sitting on a branch made of money.,,bird,0.999808,D
bird5-oven3,A blurry photo of a computer screen with a bunch of icons.,,airplane,0.6717993,X
bird2-dog2,A bird with a long tail is perched on a tree branch.,,bird,0.999632,D
bird4-airplane1,A collage of newspaper clippings.,,airplane,0.9905663,X
bird9-bicycle3,A bird with a red beak perched on a branch.,,bird,0.99999666,D
bird8-keyboard2,A black keyboard with a hand on it.,,keyboard,1.0,M
bird3-bottle2,A bunch of bottles and a hair dryer.,,bottle,0.99999964,F
bird9-elephant2,A bird with a long beak is perched on a branch.,,bird,0.9999881,D
bird4-clock1,A colorful clock made of many clocks.,,clock,1.0,J
bird6-oven1,A blurry photo of a bird.,,bird,0.99981743,D
bird8-car2,A blurry image of a car with a red hood.,,car,0.9952691,G
bird8-boat3,A colorful bird with a red beak is perched on a branch.,,bird,0.9999981,D
bird4-bicycle2,A blurry image of a bicycle with a person on it.,,bicycle,0.9999999,C
bird1-truck1,A red heart is shown in a distorted and blurry image.,,airplane,0.26342812,X
bird10-bear2,A bird with a long beak.,,bird,0.99999607,D
bird9-bear3,A bird with brown feathers.,,bird,0.9999956,D
bird5-dog2,A yellow bird is perched on a branch.,,bird,0.9999318,D
bird5-cat2,A small bird perched on a branch.,,bird,0.9997217,D
bird6-airplane2,A blue and yellow bird with a black wing.,,bird,0.9996018,D
bird9-dog2,A bird is perched on a branch.,,bird,0.9999608,D
bird5-chair1,A red chair with a person sitting in it.,,chair,1.0,I
bird1-chair2,A bunch of chairs in a row.,,chair,1.0,I
airplane2-bear1,A brown furry object with a hole in it.,,dog,0.9747668,X
airplane5-oven3,A bunch of old microwaves stacked on top of each other.,,oven,0.9687817,X
airplane2-bicycle1,A bunch of silver metal objects.,,airplane,0.54579514,X
airplane10-car3,A red airplane is parked on the ground.,,airplane,0.9999995,A
airplane2-bird3,A painting of a bird with a red beak.,,bird,0.99999774,D
airplane4-bear3,A blurry image of a cat's face.,,cat,0.999995,H
airplane9-oven2,A black and white photo of a cityscape.,,airplane,0.9536771,X
airplane9-clock1,A bunch of clocks in different shapes and sizes.,,clock,1.0,J
airplane6-knife1,A close-up of a pair of scissors.,,knife,0.99995136,X
airplane1-clock1,A clock with a bird on it.,,clock,0.9984206,"J, D"
airplane3-car1,A red and yellow airplane is in the middle of a group of cars.,,airplane,0.9997396,A
airplane9-car2,A bunch of cars are in the background.,,car,0.99994564,G
airplane10-elephant1,A picture of a plane wing.,,airplane,1.0,A
airplane4-cat3,A cat laying on the ground.,,cat,0.9999994,H
airplane5-boat3,A colorful airplane with a blue and red wing.,,airplane,1.0,A
airplane3-dog1,A close-up of a fluffy white object with a red hue.,,airplane,0.5703511,X
airplane9-knife3,A bunch of black and white photos.,,airplane,0.929941,X
airplane5-bird2,A black and white photo of a jet.,,airplane,0.9999999,A
airplane5-dog3,A close-up of a dog's head.,,dog,0.9999776,K
airplane5-chair3,A blue chair with a blue seat.,,chair,1.0,I
airplane6-bear3,A tree branch with a bird on it.,,bird,0.999943,D
airplane4-elephant1,"A close-up of a wrinkled, textured surface.",,airplane,0.98145455,X
airplane1-elephant1,A plane on a gray surface.,,airplane,1.0,A
airplane8-truck3,"A colorful, abstract image of chairs.",,chair,0.99999976,I
airplane10-knife3,A bunch of scissors.,,knife,0.99993634,X
airplane4-airplane1,A plane is flying in the sky.,,airplane,1.0,A
airplane8-clock2,A blurry image of a keyboard.,,keyboard,0.9999999,M
airplane10-truck1,"A red car is shown in a distorted, blurry image.",,car,0.99880505,G
airplane4-bottle1,A colorful assortment of bottles and cans.,,bottle,0.9999999,F
airplane9-truck1,A red airplane with a red propeller.,,airplane,1.0,A
airplane7-clock3,A clock with a guitar design on it.,,clock,1.0,J
airplane7-airplane3,A large jetliner is flying through the sky.,,airplane,1.0,A
airplane8-bird1,A blue airplane in the sky.,,airplane,1.0,A
airplane10-oven2,A black and white photo of a plane.,,airplane,1.0,A
airplane5-knife1,"A colorful, abstract image of a hand holding a bottle.",,bottle,1.0,F
airplane8-bicycle3,A painting of a bike with a chain.,,bicycle,0.99998724,C
airplane4-bicycle2,A blurry photo of a bike.,,bicycle,0.99998343,C
airplane6-chair3,A bunch of blue chairs in a row.,,chair,0.9999999,I
airplane5-bear2,A bird is laying on a pile of fluffy white material.,,bird,0.9999763,D
airplane4-truck2,A red car is shown in a blurry image.,,car,0.9993587,G
airplane7-car1,"A colorful collage of cars, including a red one, are arranged in a row.",,car,0.9968567,G
airplane7-bird3,A bird with a message on its back.,,bird,0.9999945,D
airplane1-bicycle2,A plane is flying through the air.,,airplane,1.0,A
airplane4-dog2,A piece of fabric with a string attached to it.,,airplane,0.852678,X
airplane10-airplane1,"A plane with the word ""Air"" on it.",,airplane,1.0,A
airplane8-oven2,A black and white photo of a pair of scissors.,,knife,0.99871576,X
airplane10-cat2,A blurry image of a cat.,,cat,0.9999937,H
airplane8-elephant3,The image is of a close-up of an elephant's skin.,,elephant,1.0,L
airplane5-bottle3,A green bottle with a white label is surrounded by other bottles.,,bottle,1.0,F
airplane4-car1,A colorful painting of cars and airplanes.,,airplane,0.99945587,"G, P"
airplane7-boat2,A red and white airplane with the word Monarch on the side.,,airplane,1.0,A
airplane6-keyboard3,A black bird is sitting on a branch.,,bird,0.99993634,D
airplane3-elephant1,"A close up of a dirty, wrinkled, and worn piece of fabric.",,airplane,0.7984243,X
airplane7-truck1,"A red airplane with the word ""honor"" on it.",,airplane,1.0,A
airplane6-bottle2,A bunch of bottles with different colors and shapes.,,bottle,1.0,F
airplane9-keyboard2,A close up of a keyboard.,,keyboard,1.0,M
airplane10-dog3,A blurry image of a dog's head.,,dog,0.99990284,K
airplane2-bottle1,A bunch of bottles and cans are stacked on top of each other.,,bottle,0.9999995,F
airplane4-boat3,A colorful painting of a plane.,,airplane,1.0,A
airplane7-bottle3,A bunch of Monopoly game pieces.,,clock,0.59264034,X
airplane3-keyboard2,A black and white photo of a computer keyboard.,,keyboard,0.99999976,M
airplane9-boat1,"A colorful, abstract painting of a plane.",,airplane,1.0,A
airplane9-airplane2,A blue and yellow airplane in the sky.,,airplane,1.0,A
airplane4-knife1,"A colorful, abstract image of a gun.",,airplane,0.91861945,X
airplane7-keyboard1,A close-up of a metal object with a lot of text on it.,,airplane,0.59416384,X
airplane3-clock1,A clock is shown in a collage of clocks.,,clock,1.0,J
airplane3-cat1,"A brown animal, possibly a bear, is laying on a blue surface.",,bear,0.9937255,B
airplane5-bicycle1,A close up of a plane's wing.,,airplane,1.0,A
airplane3-airplane2,A yellow and blue airplane in the sky.,,airplane,1.0,A
airplane2-dog1,A close up of a furry object.,,dog,0.9572232,B. bear
airplane7-cat3,A bird with a tag on its leg.,,bird,0.9999733,D
airplane3-chair3,A blue chair in a room.,,chair,1.0,I
airplane4-bird3,A bird with wings spread out.,,bird,0.99984324,D
airplane1-chair2,A bunch of chairs are piled on top of each other.,,chair,0.9999999,I
airplane3-oven1,A blurry photo of a plane.,,airplane,1.0,A
airplane4-keyboard3,A black remote control.,,airplane,0.5235676,X
airplane10-boat3,"A colorful, abstract image of a plane.",,airplane,1.0,A
airplane8-chair1,A red chair with a person sitting in it.,,chair,1.0,I
airplane2-cat1,"A cat is laying on a bed, with a toy in its mouth.",,cat,0.9999931,H
airplane10-bear3,A close up of a furry object.,,dog,0.9572232,B. bear
clock7-boat3,A clock with green and red colors.,,clock,1.0,J
clock8-truck2,A red and silver watch face with a red band.,,clock,0.9997384,J
clock6-clock2,A clock with a reflection of a person in it.,,clock,1.0,J
clock7-car1,A clock with a yellow face and red trim.,,clock,1.0,J
clock10-oven2,A blurry image of a camera.,,airplane,0.97492415,X
clock10-airplane1,A clock with a bird on it.,,clock,0.9984206,"J, D"
clock4-chair1,A red circle with a clock inside of it.,,clock,1.0,J
clock8-oven3,A blurry image of a computer monitor with a keyboard and mouse.,,keyboard,0.999783,M
clock2-knife1,A clock with a brown face and a black background.,,clock,1.0,J
clock1-clock2,A clock with roman numerals is shown in a close up.,,clock,1.0,J
clock8-bear2,A clock with a white face and black hands.,,clock,1.0,J
clock9-keyboard2,A blurry close up of a keyboard.,,keyboard,1.0,M
clock4-elephant2,A clock with Roman numerals.,,clock,1.0,J
clock10-cat1,A brown teddy bear with a clock face.,,clock,0.94852394,"B, J"
clock6-chair3,A blue chair with a circle on it.,,chair,0.99999976,I
clock7-bicycle1,A clock with a red hand.,,clock,1.0,J
clock9-airplane1,A watch face is shown with the hands on the numbers 11 and 12.,,clock,0.99998295,X
clock5-bicycle1,A clock with a blue face and silver hands.,,clock,1.0,J
clock3-cat1,A clock with a brown face and blue numbers.,,clock,1.0,J
clock10-bottle1,A large collection of liquor bottles.,,bottle,1.0,F
clock2-clock3,A close up of a clock face.,,clock,1.0,J
clock7-cat2,A clock with a white face and black hands.,,clock,1.0,J
clock3-keyboard3,A close up of a clock face.,,clock,1.0,J
clock10-boat2,A clock with a motorcycle on top of it.,,clock,0.9999995,"J, G"
clock7-bear2,A clock with a white face and black hands.,,clock,1.0,J
clock8-cat1,A clock with a brown face.,,clock,1.0,J
clock9-bird2,A close up of a clock face.,,clock,1.0,J
clock10-knife3,A black and white photo of a guitar.,,airplane,0.84555066,X
clock4-bottle3,A green clock with numbers on it.,,clock,1.0,J
clock9-chair3,A blue chair with a black seat.,,chair,1.0,I
clock8-boat1,A clock with a blue face and red trim.,,clock,1.0,J
clock2-bottle3,A clock with a green face and white numbers.,,clock,1.0,J
clock4-knife1,A clock with a brown face and a wood frame.,,clock,1.0,J
clock1-bear1,A close up of a furry object with the number 35 written on it.,,dog,0.83894587,X
clock8-keyboard1,A close up of a clock face with a black background.,,clock,1.0,J
clock2-elephant2,A clock with a brown and white face.,,clock,1.0,J
clock8-airplane2,A blue and yellow clock.,,clock,1.0,J
clock6-oven1,A close up of a black and white photo of a microwave.,,airplane,0.6408992,O
clock2-bicycle1,A clock with a blue face and silver hands.,,clock,1.0,J
clock10-truck2,A red and silver metal object.,,knife,0.5015531,X
clock4-oven1,A close up of a watch face.,,clock,0.9964143,J
clock6-bird3,A clock with roman numerals.,,clock,1.0,J
clock7-bottle2,A clock with lots of bottles around it.,,clock,0.7754241,"J, F"
clock10-dog3,A dog's face is shown in the center of a circle.,,dog,0.9999757,K
clock4-car2,A watch face with a red background.,,clock,0.99994195,X
clock10-clock3,A clock with roman numerals.,,clock,1.0,J
clock3-car2,A watch with a red face and a car on the front.,,car,0.99537474,"J, G"
clock3-bird1,A clock with roman numerals.,,clock,1.0,J
clock3-dog2,A clock with a furry face.,,clock,0.99999976,J
clock2-dog1,A clock with a fluffy texture.,,clock,1.0,J
clock7-dog2,A clock with a furry face.,,clock,0.99999976,J
clock6-truck3,A blue and yellow circle with a seat inside.,,chair,0.8654398,X
clock3-bicycle2,A close up of a clock face with a reflection of a person in the background.,,clock,1.0,J
